,credit_risk
132,1
156,1
213,0
119,1
139,1
66,1
216,0
154,1
167,1
148,1
232,0
155,1
117,0
84,1
125,1
144,1
244,0
109,1
181,1
233,0
73,1
224,0
115,1
75,1
236,0
82,1
29,1
126,1
79,1
86,1
5,1
56,1
185,0
150,1
211,0
65,1
197,1
124,1
212,0
147,1
31,1
12,1
35,1
28,1
42,1
235,0
22,1
93,1
168,0
101,1
51,1
95,1
142,1
198,1
76,1
41,1
113,1
230,0
78,1
146,1
26,1
240,0
176,1
238,0
136,1
0,1
2,1
77,1
46,1
100,1
127,1
228,0
178,1
90,1
85,1
247,0
165,1
98,1
36,1
61,1
164,1
141,1
11,1
243,0
27,1
152,1
4,1
122,1
32,1
143,1
177,1
138,1
62,1
135,1
128,1
225,0
242,0
70,1
221,0
64,1
44,1
218,0
40,1
123,1
153,1
23,1
186,0
182,1
81,1
39,1
208,1
47,0
94,1
204,1
161,1
43,1
145,1
170,1
3,1
105,1
53,1
133,1
226,0
192,1
231,0
49,1
163,1
80,1
34,1
205,1
7,1
171,1
110,1
91,1
83,1
222,0
227,0
89,1
8,1
13,1
59,1
237,0
131,1
17,1
166,1
72,1
219,0
134,1
217,0
229,0
63,1
54,1
107,1
50,1
206,1
174,1
209,0
189,0
245,0
207,1
220,0
169,1
58,1
48,1
88,1
21,1
57,1
203,1
160,1
241,0
187,0
191,1
129,1
37,1
157,1
234,0
1,1
52,1
149,1
130,1
151,1
103,1
99,1
116,1
87,1
202,1
74,1
214,0
210,0
121,0
248,0
20,1
188,1
71,1
106,1
14,0
92,1
179,1
102,1
